-1.0	-0.002
-1.0	-0.001
-1.0	0.0
-1.0	0.001
-0.999	-0.004
-0.999	-0.003
-0.999	-0.002
-0.999	-0.001
-0.999	0.002
-0.999	0.003
-0.999	0.004
-0.999	0.005
-0.998	-0.007
-0.998	-0.006
-0.998	-0.005
-0.998	-0.004
-0.998	0.005
-0.998	0.006
-0.998	0.007
-0.998	0.008
-0.997	-0.011
-0.997	-0.01
-0.997	-0.009
-0.997	-0.008
-0.997	0.008
-0.997	0.009
-0.997	0.01
-0.997	0.011
-0.996	-0.013
-0.996	-0.012
-0.996	-0.011
-0.996	0.01
-0.996	0.011
-0.996	0.012
-0.996	0.013
-0.996	0.014
-0.995	-0.016
-0.995	-0.015
-0.995	-0.014
-0.995	-0.013
-0.995	0.013
-0.995	0.014
-0.995	0.015
-0.995	0.016
-0.994	-0.019
-0.994	-0.018
-0.994	-0.017
-0.994	0.017
-0.994	0.018
-0.994	0.019
-0.994	0.02
-0.993	-0.023
-0.993	-0.022
-0.993	-0.021
-0.993	-0.02
-0.993	0.02
-0.993	0.021
-0.993	0.022
-0.993	0.023
-0.992	-0.026
-0.992	-0.025
-0.992	-0.024
-0.992	-0.023
-0.992	-0.022
-0.992	0.022
-0.992	0.023
-0.992	0.024
-0.992	0.025
-0.991	-0.028
-0.991	-0.027
-0.991	-0.026
-0.991	-0.025
-0.991	0.025
-0.991	0.026
-0.991	0.027
-0.991	0.028
-0.99	-0.032
-0.99	-0.031
-0.99	-0.03
-0.99	-0.029
-0.99	0.028
-0.99	0.029
-0.99	0.03
-0.99	0.031
-0.99	0.032
-0.989	-0.035
-0.989	-0.034
-0.989	-0.033
-0.989	-0.032
-0.989	0.032
-0.989	0.033
-0.989	0.034
-0.989	0.035
-0.988	-0.037
-0.988	-0.036
-0.988	-0.035
-0.988	0.034
-0.988	0.035
-0.988	0.036
-0.988	0.037
-0.987	-0.04
-0.987	-0.039
-0.987	-0.038
-0.987	-0.037
-0.987	0.038
-0.987	0.039
-0.987	0.04
-0.986	-0.044
-0.986	-0.043
-0.986	-0.042
-0.986	-0.041
-0.986	-0.04
-0.986	0.041
-0.986	0.042
-0.986	0.043
-0.985	-0.047
-0.985	-0.046
-0.985	-0.045
-0.985	-0.044
-0.985	0.044
-0.985	0.045
-0.985	0.046
-0.985	0.047
-0.984	-0.05
-0.984	-0.049
-0.984	-0.048
-0.984	-0.047
-0.984	-0.046
-0.984	0.046
-0.984	0.047
-0.984	0.048
-0.984	0.049
-0.983	-0.053
-0.983	-0.052
-0.983	-0.051
-0.983	-0.05
-0.983	-0.049
-0.983	0.05
-0.983	0.051
-0.983	0.052
-0.982	-0.056
-0.982	-0.055
-0.982	-0.054
-0.982	-0.053
-0.982	-0.052
-0.982	0.053
-0.982	0.054
-0.982	0.055
-0.981	-0.059
-0.981	-0.058
-0.981	-0.057
-0.981	-0.056
-0.981	0.056
-0.981	0.057
-0.981	0.058
-0.981	0.059
-0.98	-0.061
-0.98	-0.06
-0.98	-0.059
-0.98	-0.058
-0.98	0.058
-0.98	0.059
-0.98	0.06
-0.98	0.061
-0.98	0.062
-0.979	-0.064
-0.979	-0.063
-0.979	-0.062
-0.979	-0.061
-0.979	0.061
-0.979	0.062
-0.979	0.063
-0.979	0.064
-0.978	-0.067
-0.978	-0.066
-0.978	-0.065
-0.978	0.065
-0.978	0.066
-0.978	0.067
-0.978	0.068
-0.977	-0.071
-0.977	-0.07
-0.977	-0.069
-0.977	-0.068
-0.977	0.068
-0.977	0.069
-0.977	0.07
-0.977	0.071
-0.976	-0.073
-0.976	-0.072
-0.976	-0.071
-0.976	-0.07
-0.976	0.07
-0.976	0.071
-0.976	0.072
-0.976	0.073
-0.975	-0.076
-0.975	-0.075
-0.975	-0.074
-0.975	-0.073
-0.975	0.073
-0.975	0.074
-0.975	0.075
-0.975	0.076
-0.974	-0.08
-0.974	-0.079
-0.974	-0.078
-0.974	-0.077
-0.974	0.076
-0.974	0.077
-0.974	0.078
-0.974	0.079
-0.974	0.08
-0.973	-0.083
-0.973	-0.082
-0.973	-0.081
-0.973	-0.08
-0.973	0.08
-0.973	0.081
-0.973	0.082
-0.973	0.083
-0.972	-0.085
-0.972	-0.084
-0.972	-0.083
-0.972	-0.082
-0.972	0.082
-0.972	0.083
-0.972	0.084
-0.972	0.085
-0.971	-0.088
-0.971	-0.087
-0.971	-0.086
-0.971	0.085
-0.971	0.086
-0.971	0.087
-0.971	0.088
-0.97	-0.092
